Frame 1, x 0, y 0, z 0; 
Frame 2, x 0, y 0, z 0; 
Frame 3, x 0, y 0, z 0; 
Frame 4, x 0, y 0, z 0; 
Frame 5, x 0, y 0, z 0; 
Frame 6, x 0, y 0, z 0; 
Frame 7, x 0, y 0, z 0; 
Frame 8, x 0, y 0, z 0; 
Frame 9, x 2.04683, y 6.61537, z 36.5878; 
Frame 10, x 2.04809, y 6.63569, z 36.7011; 
Frame 11, x 2.03913, y 6.6504, z 36.7792; 
Frame 12, x 2.02131, y 6.64827, z 36.7559; 
Frame 13, x 2.00681, y 6.65138, z 36.7642; 
Frame 14, x 1.99242, y 6.64733, z 36.7584; 
Frame 15, x 1.98255, y 6.67399, z 36.8896; 
Frame 16, x 1.95799, y 6.69542, z 36.994; 
Frame 17, x 1.92629, y 6.69375, z 36.9726; 
Frame 18, x 1.89944, y 6.68516, z 36.9187; 
Frame 19, x 1.87509, y 6.67792, z 36.8788; 
Frame 20, x 1.85679, y 6.67907, z 36.9066; 
Frame 21, x 1.84827, y 6.68393, z 36.9774; 
Frame 22, x 1.8383, y 6.66197, z 36.9109; 
Frame 23, x 1.82997, y 6.64701, z 36.882; 
Frame 24, x 1.82006, y 6.62679, z 36.8273; 
Frame 25, x 1.82141, y 6.6302, z 36.9186; 
Frame 26, x 1.8206, y 6.60782, z 36.8717; 
Frame 27, x 1.82002, y 6.60163, z 36.9166; 
Frame 28, x 1.81264, y 6.58126, z 36.8736; 
Frame 29, x 1.81499, y 6.57665, z 36.9109; 
Frame 30, x 1.81689, y 6.55605, z 36.8779; 
Frame 31, x 1.81897, y 6.55402, z 36.9363; 
Frame 32, x 1.81472, y 6.54205, z 36.9212; 
Frame 33, x 1.82571, y 6.54587, z 37.0196; 
Frame 34, x 1.83052, y 6.52223, z 37.0117; 
Frame 39, x 1.83052, y 6.52223, z 37.0117; 
Frame 40, x 1.83052, y 6.52223, z 37.0117; 
Frame 41, x 1.83052, y 6.52223, z 37.0117; 
Frame 42, x 1.83052, y 6.52223, z 37.0117; 
Frame 43, x 1.83052, y 6.52223, z 37.0117; 
Frame 44, x 1.83052, y 6.52223, z 37.0117; 
Frame 45, x 1.83052, y 6.52223, z 37.0117; 
Frame 46, x 1.83052, y 6.52223, z 37.0117; 
Frame 47, x 1.83052, y 6.52223, z 37.0117; 
Frame 48, x 1.83052, y 6.52223, z 37.0117; 
Frame 49, x 1.83052, y 6.52223, z 37.0117; 
Frame 50, x 1.83052, y 6.52223, z 37.0117; 
Frame 52, x 1.83052, y 6.52223, z 37.0117; 
Frame 53, x 1.83052, y 6.52223, z 37.0117; 
Frame 54, x 1.83052, y 6.52223, z 37.0117; 
Frame 55, x 1.83052, y 6.52223, z 37.0117; 
Frame 56, x 1.83052, y 6.52223, z 37.0117; 
Frame 57, x 1.83052, y 6.52223, z 37.0117; 
Frame 58, x 1.83052, y 6.52223, z 37.0117; 
Frame 61, x 1.83052, y 6.52223, z 37.0117; 
Frame 62, x 1.83052, y 6.52223, z 37.0117; 
Frame 63, x 1.83052, y 6.52223, z 37.0117; 
Frame 65, x 1.83052, y 6.52223, z 37.0117; 
Frame 66, x 1.83052, y 6.52223, z 37.0117; 
Frame 67, x 1.83052, y 6.52223, z 37.0117; 
Frame 68, x 1.83052, y 6.52223, z 37.0117; 
Frame 69, x 1.83052, y 6.52223, z 37.0117; 
Frame 70, x 1.83052, y 6.52223, z 37.0117; 
Frame 73, x 1.83052, y 6.52223, z 37.0117; 
Frame 75, x 3.42048, y 5.76662, z 34.7105; 
Frame 76, x 3.43148, y 5.77366, z 34.7809; 
Frame 78, x 3.47313, y 5.7624, z 34.8674; 
Frame 79, x 3.50541, y 5.72887, z 34.8341; 
Frame 80, x 3.53838, y 5.6967, z 34.8066; 
Frame 81, x 3.53838, y 5.6967, z 34.8066; 
Frame 82, x 3.6021, y 5.67904, z 34.8677; 
Frame 83, x 3.66335, y 5.65963, z 34.9062; 
Frame 85, x 3.74659, y 5.62911, z 34.9395; 
Frame 86, x 3.80901, y 5.58322, z 34.8362; 
Frame 87, x 3.87643, y 5.55756, z 34.8186; 
Frame 88, x 3.94044, y 5.52573, z 34.762; 
Frame 90, x 3.97868, y 5.51332, z 34.6889; 
Frame 91, x 3.97868, y 5.51332, z 34.6889; 
Frame 92, x 3.97868, y 5.51332, z 34.6889; 
Frame 93, x 3.97868, y 5.51332, z 34.6889; 
Frame 94, x 3.97868, y 5.51332, z 34.6889; 
Frame 95, x 3.97868, y 5.51332, z 34.6889; 
Frame 99, x 3.97868, y 5.51332, z 34.6889; 
Frame 100, x 3.97868, y 5.51332, z 34.6889; 
Frame 101, x 3.97868, y 5.51332, z 34.6889; 
Frame 102, x 3.97868, y 5.51332, z 34.6889; 
Frame 103, x 3.97868, y 5.51332, z 34.6889; 
Frame 104, x 3.97868, y 5.51332, z 34.6889; 
Frame 105, x 3.97868, y 5.51332, z 34.6889; 
Frame 106, x 3.97868, y 5.51332, z 34.6889; 
Frame 110, x 3.97868, y 5.51332, z 34.6889; 
Frame 111, x 3.97868, y 5.51332, z 34.6889; 
Frame 112, x 4.76355, y 3.53929, z 33.9773; 
Frame 113, x 4.78457, y 3.54233, z 34.0602; 
Frame 114, x 4.78841, y 3.52411, z 34.0225; 
Frame 115, x 4.78951, y 3.50838, z 33.9944; 
Frame 116, x 4.78829, y 3.49406, z 33.9643; 
Frame 117, x 4.78962, y 3.48969, z 33.9817; 
Frame 118, x 4.7823, y 3.48411, z 33.9612; 
Frame 119, x 4.77323, y 3.4792, z 33.9443; 
Frame 120, x 4.76644, y 3.4773, z 33.9654; 
Frame 121, x 4.74452, y 3.46843, z 33.8985; 
