Frame 0, Rot 0, Dist 0; 
Frame 1, Rot 0.00071359, Dist 0.00037845; 
Frame 2, Rot 0, Dist 0; 
Frame 3, Rot 0.00116497, Dist 0.000458612; 
Frame 4, Rot 0.00584394, Dist 0.00937279; 
Frame 5, Rot 0.00773201, Dist 0.00987496; 
Frame 6, Rot 0.00365874, Dist 0.0096019; 
Frame 7, Rot 0.00251976, Dist 0.00983788; 
Frame 8, Rot 0.000686031, Dist 5.09542e-05; 
Frame 9, Rot 0.00161874, Dist 8.81151e-05; 
Frame 10, Rot 0.00092188, Dist 0.000372369; 
Frame 11, Rot 0.00110011, Dist 0.000444519; 
Frame 12, Rot 0.00823634, Dist 0.00143252; 
Frame 13, Rot 0.00796165, Dist 0.00131345; 
Frame 14, Rot 0.00215431, Dist 0.000185273; 
Frame 15, Rot 0.00197532, Dist 6.88217e-05; 
Frame 16, Rot 0.00116347, Dist 0.000461156; 
Frame 17, Rot 0.000780569, Dist 0.000152888; 
Frame 18, Rot 0.00134689, Dist 0.000890714; 
Frame 19, Rot 0.00395673, Dist 0.000452057; 
Frame 20, Rot 0.0125209, Dist 0.00278755; 
Frame 21, Rot 0.00732131, Dist 0.0122155; 
Frame 22, Rot 0.00272209, Dist 0.00987807; 
Frame 23, Rot 0.0107367, Dist 0.00169817; 
Frame 24, Rot 0.0136578, Dist 0.010257; 
Frame 25, Rot 0.00370285, Dist 0.0101935; 
Frame 26, Rot 0.0045401, Dist 0.0110175; 
Frame 27, Rot 0.00619207, Dist 0.0116894; 
Frame 28, Rot 0.00332267, Dist 0.00924582; 
Frame 29, Rot 0.00896935, Dist 0.0180789; 
Frame 30, Rot 0.0036395, Dist 0.00218259; 
Frame 31, Rot 0.00578558, Dist 0.0196496; 
Frame 32, Rot 0.0008105, Dist 0.000940883; 
Frame 33, Rot 0.00284988, Dist 0.0108262; 
Frame 34, Rot 0.00134147, Dist 0.000291325; 
Frame 35, Rot 0.0016177, Dist 0.000297895; 
Frame 36, Rot 0.00124069, Dist 0.000507146; 
Frame 37, Rot 0.00136615, Dist 0.000435735; 
Frame 38, Rot 0.00191651, Dist 0.00145571; 
Frame 39, Rot 0.00141745, Dist 0.000341842; 
Frame 40, Rot 0.00982495, Dist 0.00193814; 
Frame 41, Rot 0.0061264, Dist 0.0102686; 
Frame 42, Rot 0.00451896, Dist 0.00996673; 
Frame 43, Rot 0.00547834, Dist 0.000624134; 
Frame 44, Rot 0.00182711, Dist 0.00102067; 
Frame 45, Rot 0.00614862, Dist 0.000650998; 
Frame 46, Rot 0.00304616, Dist 0.000896326; 
Frame 47, Rot 0.00126911, Dist 0.000219696; 
Frame 48, Rot 0.00607471, Dist 0.0142227; 
Frame 49, Rot 0.00509104, Dist 0.0131753; 
Frame 50, Rot 0.00525585, Dist 0.00028101; 
Frame 51, Rot 0.00326609, Dist 0.012261; 
Frame 52, Rot 0.00377147, Dist 0.0107895; 
Frame 53, Rot 0.00558185, Dist 0.0125065; 
Frame 54, Rot 0.00609861, Dist 0.0119159; 
Frame 55, Rot 0.00183141, Dist 0.00091326; 
Frame 56, Rot 0.00644608, Dist 0.0137951; 
Frame 57, Rot 0.0114555, Dist 0.00288287; 
Frame 58, Rot 0.00647981, Dist 0.0014535; 
Frame 59, Rot 0.00836887, Dist 0.00993309; 
Frame 60, Rot 0.0043114, Dist 0.0117143; 
Frame 61, Rot 0.0028105, Dist 0.0120574; 
Frame 62, Rot 0.00295042, Dist 0.000675736; 
Frame 63, Rot 0.00454815, Dist 0.00156199; 
Frame 64, Rot 0.00520638, Dist 0.001214; 
Frame 65, Rot 0.00174831, Dist 0.000660952; 
Frame 66, Rot 0.00694355, Dist 0.00100315; 
Frame 67, Rot 0.000814114, Dist 0.00104913; 
Frame 68, Rot 0.0060556, Dist 0.00149085; 
Frame 69, Rot 0.000492358, Dist 0.000710404; 
Frame 70, Rot 0.00371775, Dist 0.0111151; 
Frame 71, Rot 0.00717026, Dist 0.00806562; 
Frame 72, Rot 0.00413701, Dist 0.00624316; 
Frame 73, Rot 0.00578438, Dist 0.00411428; 
Frame 74, Rot 0.00753339, Dist 0.00831242; 
Frame 75, Rot 0.000792361, Dist 0.000296465; 
Frame 76, Rot 0.00170943, Dist 0.0128692; 
Frame 77, Rot 0.00548909, Dist 0.000346952; 
Frame 78, Rot 0.00682408, Dist 0.000855786; 
Frame 79, Rot 0.00569466, Dist 0.000598366; 
Frame 80, Rot 0.0105762, Dist 0.00192275; 
Frame 81, Rot 0.00844398, Dist 0.00262954; 
Frame 82, Rot 0.00194218, Dist 0.0125736; 
Frame 83, Rot 0.00269324, Dist 0.0131164; 
Frame 84, Rot 0.00359741, Dist 0.000407053; 
Frame 85, Rot 0.00392231, Dist 0.00123423; 
Frame 86, Rot 0.00435888, Dist 0.0106714; 
Frame 87, Rot 0.00477401, Dist 0.0146359; 
Frame 88, Rot 0.00158124, Dist 0.00210668; 
Frame 89, Rot 0.000931598, Dist 0.00307052; 
Frame 90, Rot 0.00139879, Dist 0.00136898; 
Frame 91, Rot 0.000890161, Dist 0.00206216; 
Frame 92, Rot 0.00113463, Dist 0.000636466; 
Frame 93, Rot 0.00717961, Dist 0.00532173; 
Frame 94, Rot 0.00229627, Dist 0.00104394; 
Frame 95, Rot 0.00889935, Dist 0.00213742; 
Frame 96, Rot 0.00541042, Dist 0.00139798; 
Frame 97, Rot 0.00673387, Dist 0.000941135; 
Frame 98, Rot 0.000658025, Dist 0.00112858; 
Frame 99, Rot 0.00181242, Dist 0.00188715; 
Frame 100, Rot 0.00454597, Dist 0.00322963; 
Frame 101, Rot 0.00484737, Dist 0.0157897; 
Frame 102, Rot 0.000729424, Dist 0.000508013; 
Frame 103, Rot 0.00115384, Dist 0.000678222; 
Frame 104, Rot 0.000873717, Dist 0.00182187; 
Frame 105, Rot 0.000657121, Dist 0.000763683; 
Frame 106, Rot 0.00321451, Dist 0.0181824; 
Frame 107, Rot 0.00329284, Dist 0.0136358; 
Frame 108, Rot 0.00530709, Dist 0.0183729; 
Frame 109, Rot 0.00525851, Dist 0.0135914; 
Frame 110, Rot 0.00213939, Dist 0.00175009; 
Frame 111, Rot 0.00171292, Dist 0.00367584; 
Frame 112, Rot 0.00166229, Dist 0.00286126; 
Frame 113, Rot 0.00262708, Dist 0.00320147; 
Frame 114, Rot 0.0016572, Dist 0.00298681; 
Frame 115, Rot 0.00151555, Dist 0.00249257; 
Frame 116, Rot 0.00117743, Dist 0.00266086; 
Frame 117, Rot 0.000701346, Dist 0.00141537; 
Frame 118, Rot 0.00145178, Dist 0.00219046; 
Frame 119, Rot 0.00139653, Dist 0.00353115; 
Frame 120, Rot 0.00238262, Dist 0.00134065; 
Frame 121, Rot 0.00173175, Dist 0.00523509; 
Frame 122, Rot 0.00369091, Dist 0.00142796; 
Frame 123, Rot 0.00197772, Dist 0.00322212; 
Frame 124, Rot 0.00152923, Dist 0.00281548; 
Frame 125, Rot 0.00187369, Dist 0.00308511; 
Frame 126, Rot 0.00126303, Dist 0.00169295; 
Frame 127, Rot 0.000796332, Dist 0.00395771; 
Frame 128, Rot 0.00134057, Dist 0.00381546; 
Frame 129, Rot 0.00171217, Dist 0.0018199; 
Frame 130, Rot 0.00133831, Dist 0.000872757; 
Frame 131, Rot 0.000484171, Dist 0.00149428; 
Frame 132, Rot 0.00130663, Dist 0.000915342; 
Frame 133, Rot 0.00098589, Dist 0.000937679; 
Frame 134, Rot 0.00177023, Dist 0.00101118; 
Frame 135, Rot 0.00124574, Dist 0.000592678; 
Frame 136, Rot 0.00399856, Dist 0.000678275; 
Frame 137, Rot 0.00204762, Dist 0.00146658; 
Frame 138, Rot 0.00274265, Dist 0.00104572; 
Frame 139, Rot 0.00207755, Dist 0.000983815; 
Frame 140, Rot 0.000781704, Dist 0.00288441; 
Frame 141, Rot 0.0013791, Dist 0.00103769; 
Frame 142, Rot 0.000834438, Dist 0.00163158; 
Frame 143, Rot 0.00182876, Dist 0.00321088; 
Frame 144, Rot 0.00141272, Dist 0.00231286; 
Frame 145, Rot 0.00172385, Dist 0.0009283; 
Frame 146, Rot 0.00150618, Dist 0.00378231; 
Frame 147, Rot 0.000792608, Dist 0.0017557; 
Frame 148, Rot 0.00210272, Dist 0.0035496; 
Frame 149, Rot 0.000554279, Dist 0.00115975; 
Frame 150, Rot 0.000847087, Dist 0.00460616; 
Frame 151, Rot 0.000765344, Dist 0.00447785; 
Frame 152, Rot 0.000870602, Dist 0.00194962; 
Frame 153, Rot 0.000903464, Dist 0.0036252; 
